Team_Name,Player_Name,Player_No,espn_url,Position,Age,Height,Weight,College,Salary,espn_id,espn_headshot
Atlanta Hawks,Saddiq Bey,41,https://www.espn.com/nba/player/_/id/4397136/saddiq-bey,SF,24,"6' 7""",215 lbs,Villanova,$4_556_983,4397136,https://a.espncdn.com/i/headshots/nba/players/full/4397136.png
Atlanta Hawks,Bogdan Bogdanovic,13,https://www.espn.com/nba/player/_/id/3037789/bogdan-bogdanovic,SG,31,"6' 5""",225 lbs,--,$18_700_000,3037789,https://a.espncdn.com/i/headshots/nba/players/full/3037789.png
Atlanta Hawks,Kobe Bufkin,4,https://www.espn.com/nba/player/_/id/4683736/kobe-bufkin,G,20,"6' 5""",195 lbs,Michigan,$4_094_280,4683736,https://a.espncdn.com/i/headshots/nba/players/full/4683736.png
Atlanta Hawks,Clint Capela,15,https://www.espn.com/nba/player/_/id/3102529/clint-capela,C,29,"6' 10""",256 lbs,--,$20_616_000,3102529,https://a.espncdn.com/i/headshots/nba/players/full/3102529.png
Atlanta Hawks,Bruno Fernando,24,https://www.espn.com/nba/player/_/id/4277952/bruno-fernando,PF,25,"6' 9""",240 lbs,Maryland,$2_581_522,4277952,https://a.espncdn.com/i/headshots/nba/players/full/4277952.png
Atlanta Hawks,Trent Forrest,2,https://www.espn.com/nba/player/_/id/4065656/trent-forrest,G,25,"6' 4""",210 lbs,Florida State,$553_151,4065656,https://a.espncdn.com/i/headshots/nba/players/full/4065656.png
Atlanta Hawks,AJ Griffin,14,https://www.espn.com/nba/player/_/id/4432585/aj-griffin,F,20,"6' 6""",220 lbs,Duke,$3_712_920,4432585,https://a.espncdn.com/i/headshots/nba/players/full/4432585.png
Atlanta Hawks,Mouhamed Gueye,18,https://www.espn.com/nba/player/_/id/4712863/mouhamed-gueye,F,21,"6' 10""",210 lbs,Washington State,$1_119_563,4712863,https://a.espncdn.com/i/headshots/nba/players/full/4712863.png
Atlanta Hawks,De'Andre Hunter,12,https://www.espn.com/nba/player/_/id/4065732/deandre-hunter,SF,26,"6' 8""",221 lbs,Virginia,$20_089_286,4065732,https://a.espncdn.com/i/headshots/nba/players/full/4065732.png
Atlanta Hawks,Jalen Johnson,1,https://www.espn.com/nba/player/_/id/4701230/jalen-johnson,SF,22,"6' 8""",219 lbs,Duke,$2_925_360,4701230,https://a.espncdn.com/i/headshots/nba/players/full/4701230.png
Atlanta Hawks,Vit Krejci,27,https://www.espn.com/nba/player/_/id/4578893/vit-krejci,G,23,"6' 8""",195 lbs,--,--,4578893,https://a.espncdn.com/i/headshots/nba/players/full/4578893.png
Atlanta Hawks,Seth Lundy,3,https://www.espn.com/nba/player/_/id/4431775/seth-lundy,G,23,"6' 4""",220 lbs,Penn State,--,4431775,https://a.espncdn.com/i/headshots/nba/players/full/4431775.png
Atlanta Hawks,Garrison Mathews,25,https://www.espn.com/nba/player/_/id/3913180/garrison-mathews,SG,27,"6' 6""",215 lbs,Lipscomb,$2_000_000,3913180,https://a.espncdn.com/i/headshots/nba/players/full/3913180.png
Atlanta Hawks,Wesley Matthews,32,https://www.espn.com/nba/player/_/id/4032/wesley-matthews,SG,37,"6' 5""",220 lbs,Marquette,$2_019_706,4032,https://a.espncdn.com/i/headshots/nba/players/full/4032.png
Atlanta Hawks,Dejounte Murray,5,https://www.espn.com/nba/player/_/id/3907497/dejounte-murray,SG,27,"6' 5""",180 lbs,Washington,$18_214_000,3907497,https://a.espncdn.com/i/headshots/nba/players/full/3907497.png
